Sample.Name	Sample.Type	Classification	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
MeOH 1	Blank	Pre 1	5427	43691	119539	122666	104987	181220	1594	N/A	5733	58548	636878	25709	2110	2875	1238	1309	4061	15050	1938	198	395	1590	2579	57639	1670	454	1426	2547	4875	9653	6454	4338	878	846	483	2651	2328	217	3895	270	4830	678	1434	3663	3452	3114	3529	3458	2018	93317	1376	10456	2522	15471	2961	9100	19666	61267	1263	685	907	1017
blank = water	Blank	Pre 1	10226	26038	264591	88016	178945	228875	755	N/A	11565	5045	1288952	35778	588	2149	886	908	516	934	615	211	254	511	6327	48421	989	944	3564	953	461	4740	3498	N/A	2025	879	189	2066	1360	1951	1718	712	5094	784	2494	3370	2797	1321	2635	2413	2986	1582	2063	252	1052	1572	1305	2034	1663	928	836	769	613	2872
IS Mix 1	Blank	Pre 1	3598	33084	83000	80959	12335	187057	3713	N/A	21915	12472	586748	22288	1740	1641	2903	49547	3794	18098	2649	669	1847	782	4107	48455	2823	1156	2113	2582	429	4948	8390	9254	1351	471	1117	3062	1401	1647	9156	1283	6545	3105	581903	1114009	3421	2057	9878	3212	5605303	11025863	2573	13691	4600350	17279157	2367	12228	454331	874996	28064965	20374939	1120203	1513175
Cal 7	Standard	Cal 1	31900	21733	72257	111658	47126	190740	5385	N/A	53997	102698	768042	56639	2503	3252	6624	21144	84096	113480	46161	8379	15374	4335	21098	114645	21816	9646	N/A	33457	4417	6144	32826	37477	17105	12393	16906	2569	5111	10938	3343	2524	6046	30420	971673	1835241	6344	11929	21546	35496	8578411	17998777	5421	36095	8628033	29570633	2952	34635	672521	1205725	43667059	31992053	1926676	2523486
Cal 6	Standard	Cal 1	111191	82371	120399	208806	187022	206865	14822	3.09E+04	173498	89131	2162793	173490	332302	196419	36627	35386	54440	71233	69866	39426	61208	11426	80421	95272	102792	49205	76692	166162	48059	27727	76620	99176	116788	60176	93875	16185	15464	79820	30872	9881	39813	89523	1229074	2443480	25018	40984	71479	128367	9988653	21887579	106679	405373	10137733	31782467	111210	565741	836855	1483970	50716871	35071963	2615674	3341082
Cal 5	Standard	Cal 1	305090	224936	235271	426751	422662	153518	59574	1.14E+05	375095	203163	4774751	544759	932456	535737	100407	43928	66862	175164	220530	118230	153258	27932	177227	179507	276811	128304	241825	417301	39147	72165	242185	288324	342247	182905	288466	36301	63039	252479	75483	34913	89367	191428	1014999	1939602	71682	105293	218428	416217	9010739	19532393	315229	1131537	8633384	28690590	363251	1425237	787407	1294263	46065966	34922296	2305383	2676133
Cal 4	Standard	Cal 1	1062255	705612	502411	1008243	1106862	679261	122729	2.58E+05	950845	542647	11546709	1589980	2341052	1291064	255611	102202	127582	209585	456860	320151	440664	89839	584550	422908	834038	353132	629166	1193780	114076	205996	601507	668246	727001	421221	662328	83314	129757	605621	177168	81989	205457	418177	860014	1753122	170314	221837	484622	1116937	8443113	16845004	928494	3302021	6038884	19458551	887705	3934650	639022	1104885	42291349	30373733	1914489	2557874
Cal 3	Standard	Cal 1	2271599	1827750	953581	2134764	2126680	1060729	307941	6.36E+05	1984083	975332	23095368	3333447	6478791	3904379	871124	325550	416327	489124	1403180	852306	1299567	263911	1925397	1409222	3154829	1444816	2167658	3919325	424355	675230	1634107	1872190	1977849	1141420	2022053	218692	435482	1803205	474210	239989	616920	1179124	726021	1309490	598015	946445	1786316	4093655	8772423	17393034	2644968	8834856	5150630	17067791	2364311	9572362	437534	785469	44562200	31931562	1682995	2150411
Cal 2	Standard	Cal 1	7395807	5287018	2842613	6366927	4584363	2301436	829412	1.73E+06	3953622	2221444	58054927	9178152	16605443	9439279	2845489	1077744	1431551	1706162	5046995	3061795	4422590	971456	5795746	4436779	9796207	4356848	7371081	13049605	1264149	1968526	5368024	5956234	6670797	3913185	6699632	754999	1519818	6409662	1527657	827256	1817460	3580440	710554	1386860	1787267	2456295	5476000	12224889	8350161	17282685	12478964	38763643	7159346	24292360	16615059	58670607	494936	854446	43283660	32198917	1791395	2209406
Cal 1	Standard	Cal 1	13016068	9596644	3913380	8943416	5858393	3049056	1229644	4.11E+06	5774973	3520705	88093453	14864472	37840431	21295146	8257508	3176385	4352024	5261637	14862145	9448457	11139501	2372672	14354053	10095603	25824882	11369343	19401607	34409688	3851171	6090049	15910130	17965159	17857813	10610844	20436422	2412588	5432130	21961578	4859069	2587199	5357209	10532265	596990	1157540	3963821	6356472	13488321	32019578	6298246	14182610	32471191	95211833	5622926	19683666	25861519	91482390	410384	723377	43860578	30913492	1422656	1900984
