Sample.Name	Sample.Type	Classification	M243_N.Methyl.Alanine_104_42_qual	M243_N.Methyl.Alanine_104_58_quant	T246_TMAO_76.1_58_qual	T246_TMAO_76.1_59.1_quant	C282_Choline_104_58_qual	C282_Choline_104_60_quant	C178.Cytosine_112.1_69_qual	C178.Cytosine_112.1_95_quant	C242_Carnitine_162.1_103_quant	C242_Carnitine_162.1_85_qual	C261_Creatine_132.1_44_qual	C261_Creatine_132.1_90_quant	T248_Trigonelline_138_92_quant	T248_Trigonelline_138_94_qual	S240_stachyhydrin_144_144_qual.check	S240_stachyhydrin_144_84_quant	H030_Histamine_deriv_247_154_quant	H030_Histamine_deriv_247_95_qual	T230_Taurine_deriv_261_126_quant	T230_Taurine_deriv_261_136_qual	C251_Carnosine_deriv_362.2_207.03_quant	C251_Carnosine_deriv_362.2_269.02_qual	A368_Anserine_deriv_376.1_241.03_quant	A368_Anserine_deriv_376.1_283.03_qual	M262_1.Met.His_deriv_305.1_124.03_quant.must	M262_1.Met.His_deriv_305.1_83.07_qual.must	H102_Hippuric.acid_180.1_105_quant	H102_Hippuric.acid_180.1_77_qual	H096_t4.OH.Pro_deriv_267.1_132_quant	H096_t4.OH.Pro_deriv_267.1_86_qual	M263_3.Met.His_deriv_305.1_168.04_quant.must	M263_3.Met.His_deriv_305.1_212_qual	P265_Phenylacetylglycine..PAG._194.1_76_qual	P265_Phenylacetylglycine..PAG._194.1_91_quant	E035_Ethanolamine_deriv_197.1_136.02_quant	E035_Ethanolamine_deriv_197.1_62_qual	G121_Gln_deriv_282.2_130_quant	G121_Gln_deriv_282.2_84.05_qual	IS_L.Glutamine_288.1_135.1_CE25_quant	IS_L.Glutamine_288.1_89.1_CE38_qual	H163_HArg_deriv_324.1_189.03_quant	H163_HArg_deriv_324.1_84.06_qual	G004_Gly_deriv_211.2_136.03_qual	G004_Gly_deriv_211.2_76.01_quant	IS_Glycine_212.1_136.1_CE25_qual	IS_Glycine_212.1_77.1_CE15_quant	S130_Ser_deriv_241.2_106_quant	S130_Ser_deriv_241.2_136_qual	IS_Serine_244.1_109.1_CE15_quant	IS_Serine_244.1_136.1_CE30_qual	N218_ADMA_deriv_338.2_203.03_quant	N218_ADMA_deriv_338.2_46.08_qual.must	S241_SDMA_deriv_338.2_172.03_qual.must	S241_SDMA_deriv_338.2_203.02_quant	M224_Met.SO_deriv_301.2_237_quant	M224_Met.SO_deriv_301.2_88_qual	C243_Cit_deriv_311.2_159.03_qual	C243_Cit_deriv_311.2_70.07_quant	S205_Sarcosine_deriv_225_136_qual	S205_Sarcosine_deriv_225_90_quant	A364_b.Ala_deriv_225_136.01_qual	A364_b.Ala_deriv_225_90.01_quant	G152_Glu_deriv_283.2_148_quant	G152_Glu_deriv_283.2_84_qual	IS_L.Glutamic.acid_288.1_153.1_CE15_quant	IS_L.Glutamic.acid_288.1_88.1_CE35_qual	A221_GABA_deriv_239_104_quant	A221_GABA_deriv_239_87_qual.must	T183_Thr_deriv_255.2_120_quant	T183_Thr_deriv_255.2_74_qual	IS_Threonine_260.1_125.1_CE15_quant	IS_Threonine_260.1_79.1_CE30_qual	I038..I056_3.IAA_176.1_103_qual	I038..I056_3.IAA_176.1_130_quant	A362_5.AVA_deriv_253_100.02_quant	A362_5.AVA_deriv_253_94.01_qual	P264_Pyrrolidine_deriv_207_114.01_quant	P264_Pyrrolidine_deriv_207_72.05_qual	I079_3.IPA_190.1_130_quant	I079_3.IPA_190.1_172_qual	S212_Serotonin_deriv_312.3_115.09_quant	S212_Serotonin_deriv_312.3_160.04_quant	M177_Met_deriv_285.1_133_qual	M177_Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	O089_Orn_deriv_403.2_175.03_qual	O089_Orn_deriv_403.2_310.01_quant	C260_Cortexolone_347.2_109.1_quant	C260_Cortexolone_347.2_311.2_qual	K112_Kynurenine_deriv_344.2_146.03_qual	K112_Kynurenine_deriv_344.2_192.02_quant	T184_Trp_deriv_340.2_146.04_qual	T184_Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	P187_Putrescine_deriv_359.1_114.04_qual	P187_Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	C233_Cysteine_deriv_392_177.06_qual	C233_Cysteine_deriv_392_223.02_quant	C134_Cadaverin_2xderiv_373.1_128.03_qual	C134_Cadaverin_2xderiv_373.1_280.01_quant	S122_Spermidine_deriv_551.2_193.05_quant	S122_Spermidine_deriv_551.2_416.22_qual	T249_Thyroxine_deriv_912.7_731.56_qual	T249_Thyroxine_deriv_912.7_777.53_quant
MeOH 1	Blank	Pre 1	10255.54637	108959.0089	5426.591982	43691.40529	119539.1688	122665.9283	17812.03483	12443.61311	104987.3523	181219.6205	1594.438287	N/A	5733.376972	58548.34419	636878.3149	25708.78545	2109.810887	2874.61282	1238.446111	1309.121747	4061.197046	15050.36174	1937.6875	198.3770172	394.8082963	1590.007965	2578.569482	57639.06348	1669.915734	454.3504602	1426.486892	2546.593354	4875.184957	9653.302437	6454.438273	4338.183192	12324.89172	243.108077	1272.160767	164.6604192	877.6482335	845.565035	3670.353864	7079.933243	5937.953406	493.9807344	2721.23948	1934.045286	3553.409385	17180.35288	483.4850633	2651.385562	2328.252609	216.9589291	3895.224451	270.2250887	2936.900823	1219.853808	158.3294087	85.34751194	447.8030463	555.5338086	2620.672133	985.4799251	1759.622695	760.7239422	692.2680617	1212.334927	11333.00264	1501.347989	961.970852	517.411697	2076.210782	42353.88317	2367.305833	507.7031126	3277.433448	4175.960849	7905.724134	12702.79066	2246.450269	4197.690101	4830.015616	678.2415994	1433.669074	3662.534468	7334.897168	3294.081588	2877.82436	11911.29628	3452.058917	3114.276635	3529.250856	3457.958661	2018.33494	93316.50492	1376.345087	10455.85171	2521.7491	15470.85022	2631.656881	1556.71101	2960.59677	9099.729591	1668.445638	16013.04625	286.3532059	116.0778565
blank = water	Blank	Pre 1	5794.612086	272365.5999	10225.76591	26038.26186	264591.1616	88016.05981	3991.565489	6450.444581	178945.1084	228874.5081	754.9201022	N/A	11564.97154	5045.125821	1288952.14	35777.8187	588.1923545	2148.611491	886.1582586	907.6474891	515.5325432	934.4110612	614.5862061	211.2356413	253.8983027	510.7375722	6326.524069	48420.55214	988.7677715	943.585833	3563.851096	953.1947946	460.5904189	4739.94468	3497.94036	N/A	4173.90371	74.56096159	2291.228139	53.62764766	2025.269714	879.4858595	N/A	N/A	829.7887417	1946.454355	284.3611643	526.2037814	359.3882958	4621.017791	189.2777678	2066.089322	1360.190378	1951.086084	1717.935424	711.8133461	4803.779559	171.2824442	1519.557053	N/A	163.7750733	N/A	148.1340671	757.2967909	1489.828226	719.3573519	77.3467641	513.7543395	833.5416757	417.9305234	1965.981365	350.1599186	2502.285383	11429.03782	1292.291168	245.5381122	2407.246073	2182.598818	4126.229429	13425.06689	1675.562068	1817.049618	5094.253132	784.4872283	2493.749853	3370.225821	1654.30961	276.21125	6021.213721	8968.984799	2797.18103	1320.864531	2635.289404	2412.537605	2985.869515	1582.168792	2062.905732	251.9569645	1052.072067	1571.68544	1590.557137	745.8093394	1305.245079	2033.764312	1604.261826	N/A	N/A	303.9644724
IS Mix 1	Blank	Pre 1	4706.364923	26872.74154	3597.726805	33083.94585	82999.73063	80958.68165	13182.95838	45798.01342	12335.31859	187057.2098	3713.300755	N/A	21915.1887	12471.92089	586748.0333	22288.02271	1739.52921	1640.631878	2902.605331	49547.27037	3793.973606	18098.30133	2648.660257	668.8730546	1846.734628	781.7680415	4106.766625	48455.10013	2823.255761	1156.168702	2113.473492	2581.756366	428.7500744	4948.371263	8389.535658	9253.775565	6254.800082	790.7326676	305731.1986	231228.0533	1351.088033	471.2661304	86266.45402	99785.87834	694863.7324	762969.1272	3985.779903	3612.217064	7907649.548	3024304.791	1116.613716	3061.776259	1400.878245	1646.857678	9155.572864	1283.225946	3191.2878	762.9085394	60296.47048	750.8596318	611.5221105	1260.363925	1157.531274	835.8560336	2019304.951	709110.87	860.2217195	543.2331785	26403.00177	13189.77182	15817897.06	5732250.661	1512.16191	19454.17429	459.8505611	715.4162192	54004.20677	7126.1282	3659.655657	8382.777157	1124.24981	3345.696807	6545.314566	3104.761957	581903.3801	1114009.044	5791.762025	9080.898356	63490.10919	5156.030259	3421.386428	2056.838082	9877.837004	3212.359371	5605303	11025863.26	2573.432212	13691.29988	4600350.347	17279156.99	21829.52799	4807.243	2366.556553	12228.28305	522.4046461	15943.06523	478.1322166	343.6623518
Cal 7	Standard	Cal 1	7438.237485	N/A	31899.87314	21732.66871	72256.7758	111657.6611	26519.1715	60511.2259	47126.03654	190740.3536	5384.75355	N/A	53997.07379	102697.9423	768041.8261	56638.50577	2502.648483	3251.544341	6624.042251	21144.3608	84096.06074	113479.5429	46160.54364	8378.606486	15374.16305	4334.671309	21098.02911	114644.9109	21815.74664	9646.483439	N/A	33456.66289	4417.102628	6143.633651	32826.3	37477.08243	7789.649419	1995.109612	595989.483	471338.4454	17104.84644	12393.11102	126905.7001	143920.6911	1181515.49	1273393.334	16012.20717	12161.61895	11092307.14	4658859.89	16905.83046	2568.921669	5110.730142	10938.30967	3343.150397	2523.515602	2581.95125	1990.384821	125.7647169	2934.138238	5475.241928	7261.029122	4970.576686	1508.555032	3717804.993	1222180.372	1787.976814	3662.868834	41862.91765	21660.6707	22249511.86	8478325.303	12265.00249	73710.44284	7831.612316	4583.222288	274308.4675	55099.47427	61273.48519	9047.316044	8440.687249	42061.0958	6046.4283	30419.50209	971672.873	1835240.816	17169.2778	16885.08892	106478.3971	14009.25369	6343.597422	11928.65236	21546.18635	35495.71479	8578410.725	17998776.91	5421.272919	36094.61749	8628032.589	29570632.92	N/A	10544.95083	2951.544699	34634.69463	5808.333646	29329.96666	593.528659	540.7501663
Cal 6	Standard	Cal 1	12207.85782	N/A	111190.9627	82370.84987	120399.118	208806.0087	37599.84144	152755.1808	187022.3317	206864.9269	14821.61024	3.09E+04	173497.6287	89131.41687	2162793.204	173489.853	332301.7538	196419.4803	36626.50071	35386.28237	54439.59523	71233.18468	69865.58382	39426.40215	61207.75925	11425.84401	80420.63352	95271.88311	102791.6372	49204.60568	76691.80664	166162.1562	48059.10948	27727.35197	76619.61199	99176.18736	17071.63667	10369.26917	657078.8761	551473.764	116787.675	60176.46662	176146.4546	188634.7874	1254586.776	1457186.264	40958.26073	23727.82046	14329066.58	5851679.942	93874.8775	16185.22347	15463.9716	79820.42869	30871.87986	9880.766206	9159.040387	8502.768707	53000.56818	8596.634742	19239.45591	21158.32773	4064.873823	3003.416532	3802358.161	1225721.65	13496.20768	10505.05986	52310.1913	26031.09241	28257317.84	10991468.97	28364.65553	199471.0204	45517.3417	28849.07633	813943.0172	247979.2075	219982.1224	63777.17523	41159.44376	217220.7507	39812.6917	89522.62243	1229074.277	2443479.857	40002.62596	89744.97087	128662.3399	11587.73804	25018.36573	40984.07929	71479.22259	128366.9941	9988653.431	21887578.53	106679.403	405372.5945	10137732.63	31782466.89	4454.397587	9913.974444	111210.3614	565741.4483	10073.53841	42853.15284	2205.965723	5421.026836
Cal 5	Standard	Cal 1	36543.41957	75488.7533	305090.3927	224935.5029	235271.3173	426750.9237	72484.9168	352901.3335	422662.1868	153517.9282	59574.07178	1.14E+05	375095.1036	203163.2711	4774751.24	544758.8989	932455.9478	535736.8829	100407.4066	43927.65732	66862.13445	175163.7015	220530.4859	118230.4262	153258.2594	27931.81277	177227.0291	179506.9161	276811.2051	128304.4002	241825.1445	417301.326	39146.91993	72165.07674	242184.6024	288324.057	37546.12555	40521.89126	643639.8797	527117.0938	342247.4198	182905.4546	231691.1846	249880.9321	1240935.889	1289571.847	76297.82697	47782.32785	12142380.07	4775138.513	288466.2461	36301.34962	63038.97999	252479.3567	75483.41469	34912.7662	17191.49468	28867.81014	17285.87085	64215.01677	48015.70681	84823.99807	10280.32296	9489.23329	4122383.981	1455539.806	43540.95483	36207.91615	122858.7268	40973.51983	23831710.3	8844116.439	94601.09107	548781.5068	127648.3872	72791.66326	2238227.854	709296.8904	636662.9296	147458.4074	123450.483	692878.7384	89366.76168	191427.5174	1014998.89	1939602.425	98042.26502	204669.6403	154128.6028	21429.3279	71681.9105	105293.451	218428.065	416216.614	9010738.684	19532393.15	315228.6999	1131536.768	8633383.612	28690590.36	41622.16419	30512.39242	363250.9216	1425237.361	18807.47865	26628.1037	6663.489018	13610.62185
Cal 4	Standard	Cal 1	99724.14911	98562.46755	1062254.523	705611.9172	502410.5096	1008242.732	163389.8415	837673.8951	1106861.624	679260.6429	122728.7096	2.58E+05	950844.803	542646.809	11546708.78	1589980.099	2341052.367	1291064.031	255610.6545	102201.5203	127582.414	209585.4416	456860.001	320151.4832	440664.1011	89839.31841	584550.0286	422908.3062	834038.1911	353132.3315	629165.5056	1193779.561	114076.2912	205995.7912	601506.6972	668245.6341	81562.64919	99481.93255	489350.1827	395116.8498	727001.4594	421220.7255	310006.6295	338602.2141	889998.1793	940137.0463	188400.749	91595.65695	9872294.679	4112905.176	662327.5697	83313.65214	129757.1514	605620.9539	177168.1076	81989.14629	49446.58665	50181.75076	40713.11519	112693.4916	85811.62753	154122.688	14369.35185	12755.16774	2718875.606	946325.3341	101243.2927	62088.5564	347268.0597	109254.0854	23206569.79	8945252.486	263464.3616	1398661.989	267878.9236	139827.4688	5308050.788	1665811.218	1759635.793	408161.2964	211670.6679	1375990.312	205456.5737	418177.2587	860013.5821	1753121.646	220924.3433	438484.9202	222634.5266	62704.15516	170314.4163	221837.2331	484621.6848	1116937.226	8443113.345	16845003.87	928494.1897	3302021.069	6038884.38	19458550.86	25910.67651	7294.054493	887704.7161	3934650.416	627884.2232	991004.1884	13432.36393	25730.58263
Cal 3	Standard	Cal 1	210026.0076	271913.5674	2271598.58	1827749.52	953580.6077	2134763.685	254637.074	1624710.343	2126680.323	1060729.447	307940.9572	6.36E+05	1984082.585	975331.7464	23095368.22	3333447.356	6478791.333	3904378.987	871123.9644	325549.6681	416326.9155	489124.2881	1403180.358	852305.9096	1299567.404	263911.4312	1925397.479	1409221.833	3154829.362	1444816.181	2167657.886	3919324.612	424355.408	675230.2527	1634107.409	1872189.943	233291.5	253894.4897	420075.6233	343647.4578	1977849.399	1141419.917	620932.8598	707021.1137	753188.7736	785103.3575	437342.4193	224847.4776	8580608.206	3164439.42	2022053.178	218692.1798	435481.9531	1803205.142	474210.4255	239989.2357	121491.4239	124793.5165	237322.3883	627776.418	188348.1202	352714.9719	50280.89376	35206.02207	2258480.138	802861.9302	194571.9323	135982.9277	828161.1585	305700.7192	17702780.42	6857110.2	992142.2629	4898950.196	572878.1131	322222.766	14920960.19	5182816.463	6113438.503	1311713.631	867696.2429	5124613.012	616920.0092	1179124.343	726020.5951	1309489.56	380661.0108	774038.6406	575420.0121	219576.9195	598015.1528	946445.0039	1786315.751	4093655.185	8772423.13	17393034.09	2644967.663	8834855.611	5150630.167	17067791.26	15381.77067	20559.07626	2364310.72	9572362.048	2781917.727	4139539.808	46582.23654	106242.0784
Cal 2	Standard	Cal 1	610552.7195	778302.8868	7395806.507	5287018.348	2842612.931	6366927.289	620713.6265	3524423.565	4584362.94	2301435.735	829412.4375	1.73E+06	3953622.404	2221443.712	58054927.36	9178152.075	16605442.78	9439278.843	2845488.955	1077744.27	1431551.412	1706161.724	5046995.446	3061794.767	4422590.475	971455.5807	5795746.394	4436779.116	9796206.915	4356848.207	7371080.588	13049604.57	1264149.253	1968526.164	5368023.6	5956234.164	742740.4252	772034.355	390984.5693	343129.7751	6670797.022	3913184.782	1943162.817	2246122.088	899376.9206	879928.1293	1478807.19	782445.3499	8779705.754	3510650.074	6699632.343	754998.5034	1519817.578	6409662.042	1527656.884	827255.6082	403502.9007	437773.7817	335671.335	948145.1707	760186.6319	1379884.305	161852.399	109090.102	2343347.693	841489.825	767198.1271	568948.5761	3291990.623	1085604.656	19904472.81	7267619.698	2935035.009	15013319.62	2500907.085	1392414.843	48293466.73	15460327.57	16549890.85	3961614.956	2852827.514	17700549.18	1817460.487	3580440.062	710554.153	1386859.917	1536203.255	3140499.697	1677316.324	723957.0905	1787267.108	2456294.628	5475999.513	12224888.71	8350160.907	17282684.66	12478963.66	38763643.48	7159345.856	24292360.23	43165.03896	47303.97934	16615059.49	58670606.64	13587403.63	20106951.13	187996.2636	419350.4577
Cal 1	Standard	Cal 1	953131.6753	1529100.974	13016067.85	9596643.718	3913379.722	8943415.63	1236291.569	7418460.674	5858392.827	3049055.559	1229643.654	4.11E+06	5774972.803	3520704.983	88093453.36	14864472.28	37840430.8	21295146.2	8257507.945	3176384.754	4352024.189	5261636.761	14862145.25	9448457.452	11139501.45	2372671.878	14354053.2	10095603.07	25824881.79	11369343.16	19401606.58	34409688.15	3851170.924	6090049.463	15910130	17965159.07	1937756.175	2096727.524	370062.2433	279845.7194	17857812.94	10610843.56	5769427.654	6725425.747	945609.478	951737.0578	3392989.405	1813345.745	6659946.273	2710355.566	20436421.78	2412587.877	5432130.203	21961577.88	4859069.15	2587199.147	1184116.776	1284832.893	2010967.367	5387831.608	3075129.78	6005210.095	519969.9991	322510.3155	2468361.225	796353.9066	2672604.15	2030457.281	7366517.786	2359422.179	14244598.56	5065193.787	8303963.645	41962767.41	8526959.403	5020244.88	123716734.4	41315494.14	46581578.75	10739819.31	9696255.113	52538617.22	5357208.772	10532264.54	596989.7257	1157540.138	4268268.603	8878697.471	5061116.149	2333766.049	3963821.321	6356472.275	13488321.2	32019578.39	6298246.081	14182609.51	32471190.78	95211832.95	5622926.215	19683665.65	495950.1455	807973.6086	25861518.51	91482390.2	46469590.27	64576898.66	661173.1621	1477674.778
