Sample.Name	Sample.Type	N.Methyl.Alanine_104_42_qual	N.Methyl.Alanine_104_58_quant	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Cytosine_112.1_69_qual	Cytosine_112.1_95_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachyhydrin_144_144_qual.check	stachyhydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant.must	1.Met.His_deriv_305.1_83.07_qual.must	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant.must	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	Gln_deriv_282.2_130_quant	Gln_deriv_282.2_84.05_qual	IS_L.Glutamine_288.1_135.1_CE25_quant	IS_L.Glutamine_288.1_89.1_CE38_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	Gly_deriv_211.2_136.03_qual	Gly_deriv_211.2_76.01_quant	IS_Glycine_212.1_136.1_CE25_qual	IS_Glycine_212.1_77.1_CE15_quant	Ser_deriv_241.2_106_quant	Ser_deriv_241.2_136_qual	IS_Serine_244.1_109.1_CE15_quant	IS_Serine_244.1_136.1_CE30_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual.must	SDMA_deriv_338.2_172.03_qual.must	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Cit_deriv_311.2_159.03_qual	Cit_deriv_311.2_70.07_quant	Sarcosine_deriv_225_136_qual	Sarcosine_deriv_225_90_quant	b.Ala_deriv_225_136.01_qual	b.Ala_deriv_225_90.01_quant	Glu_deriv_283.2_148_quant	Glu_deriv_283.2_84_qual	IS_L.Glutamic.acid_288.1_153.1_CE15_quant	IS_L.Glutamic.acid_288.1_88.1_CE35_qual	GABA_deriv_239_104_quant	GABA_deriv_239_87_qual.must	Thr_deriv_255.2_120_quant	Thr_deriv_255.2_74_qual	IS_Threonine_260.1_125.1_CE15_quant	IS_Threonine_260.1_79.1_CE30_qual	3.IAA_176.1_103_qual	3.IAA_176.1_130_quant	5.AVA_deriv_253_100.02_quant	5.AVA_deriv_253_94.01_qual	Pyrrolidine_deriv_207_114.01_quant	Pyrrolidine_deriv_207_72.05_qual	3.IPA_190.1_130_quant	3.IPA_190.1_172_qual	Serotonin_deriv_312.3_115.09_quant	Serotonin_deriv_312.3_160.04_quant	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Orn_deriv_403.2_175.03_qual	Orn_deriv_403.2_310.01_quant	Cortexolone_347.2_109.1_quant	Cortexolone_347.2_311.2_qual	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cysteine_deriv_392_177.06_qual	Cysteine_deriv_392_223.02_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	Spermidine_deriv_551.2_193.05_quant	Spermidine_deriv_551.2_416.22_qual	Thyroxine_deriv_912.7_731.56_qual	Thyroxine_deriv_912.7_777.53_quant
MeOH 1	Unknown	0.259269214	0.208815077	0.166848834	0.179380561	0.251940857	0.260065933	0.266728019	0.269020343	0.313276447	0.189601749	0.265175529	0.039359428	0.340984067	0.425264819	0.268469248	0.269735541	0.960173505	0.986924965	0.966827122	0.537560475	1.113843502	1.093603749	1.076244939	1.133822842	1.072171652	1.209029203	1.381835031	0.770089433	1.343878289	1.133343044	1.088660044	1.096462576	1.301214163	2.037864442	1.108825564	1.586232031	1.668250621	1.558761767	1.528085021	1.556698926	1.701258102	1.698401146	1.769289023	2.264402719	1.410779013	1.630994801	1.771029042	1.914770067	1.99969185	2.039323067	1.821374104	1.809338523	1.937571036	2.073159991	2.118213502	2.509610802	1.608622711	2.289690858	2.044322622	2.072864668	2.245293884	2.126960255	2.294421424	2.194519621	2.519243572	2.119636509	2.804743308	2.734874087	3.018396501	2.304606933	2.755518522	2.885041536	3.475241288	2.624780074	3.205774153	3.238379147	3.725619015	3.722885539	3.734389146	3.676184228	3.728445667	4.344352829	4.029360355	3.978225636	3.602821284	4.346655398	4.322737876	4.433350691	4.593255867	4.207792105	4.613246839	4.596126939	4.326740835	4.149615724	4.340085747	4.335869182	4.545077886	4.525175236	4.470738628	4.489739945	4.678093926	4.609089317	4.717565285	4.611232046	4.715492666	4.677740415	4.850506392	5.024740899
blank = water	Unknown	0.257082831	0.244553295	0.206263134	0.664674041	0.24812574	0.260907997	0.328584051	0.311331831	0.24574482	0.226231792	0.257159256	0.044142276	0.351263376	0.10483443	0.241734674	0.246363416	0.578009966	0.665265786	1.299693019	0.616553071	1.3856343	1.018018231	1.260144168	1.2239	1.063806259	0.865582052	1.522136263	0.760268179	1.291759172	1.587284244	1.005825119	1.125530177	1.709069431	1.623778481	1.403167898	N/A	1.302767418	1.66415581	1.48932092	1.533452118	1.849871956	1.735116774	N/A	N/A	1.325526214	1.775737751	1.680544992	1.879029307	1.487441079	2.055870872	1.835658692	1.840222463	1.857279931	2.094024024	1.94619224	2.008557271	2.163871662	2.142893066	2.012162428	N/A	2.096334503	N/A	2.272307566	2.215628485	2.504609826	2.009721117	2.47334985	2.681314946	2.265055264	2.244877209	2.753546614	2.364116222	3.450500925	3.148817756	3.370159408	3.519151152	3.947647475	4.16705025	3.760647686	3.802648426	4.441947641	4.254377808	4.143665521	4.079773905	4.024954016	4.219379471	4.692527016	4.688704327	4.539959254	4.358034746	4.733034211	4.734131175	4.253686869	4.035521198	4.451571004	4.782659038	4.430929359	4.545457466	4.452593813	4.544887711	4.737577527	4.47655611	4.709087031	4.554405725	4.820267536	N/A	N/A	4.850075279
IS Mix 1	Unknown	0.260121766	0.226319981	0.151438996	0.191406572	0.232604455	0.26212561	0.264821175	0.281285535	0.234133214	0.185942542	0.270966742	0.040297115	0.261296252	0.272171601	0.26615602	0.265127734	1.280161744	0.954415166	1.142875945	1.123433756	1.102869424	1.086477541	1.086459349	1.144515378	1.134298781	1.375545776	1.552951688	0.883104928	1.28417341	1.577012479	1.099145715	1.076909564	1.51899288	2.036437582	1.590793241	1.601253097	1.510711651	1.57699378	1.57467848	1.573458082	1.682416761	1.884617787	1.763950256	1.763570855	1.75160837	1.751687918	1.757625202	1.737706537	1.73409593	1.734109608	1.797706136	1.84086373	2.090468283	2.099587726	2.08325331	1.702790848	1.938970651	1.995282837	1.87854105	1.99952251	2.253897786	2.241298261	2.273486566	2.601083638	2.2570574	2.25825458	2.757027923	2.619094248	2.811752561	2.800140232	2.57644651	2.576692092	2.601962617	2.945355018	3.291870265	3.304226901	3.798258943	3.725848505	3.632772299	3.749439619	4.414408083	4.387456692	4.040603822	4.186125225	4.004174107	4.003716896	4.320442847	4.70040997	4.388245425	4.573233654	4.617770717	4.39515922	4.075739585	3.96330511	4.381457064	4.382855636	4.491056272	4.517056822	4.494697296	4.493514602	4.441481328	4.440130108	4.633484833	4.587190404	4.822384001	4.652875786	5.113162053	4.795898566
Cal 7	Unknown	0.255807998	N/A	0.259917713	0.264716663	0.242186164	0.258980915	0.261427714	0.27317897	0.264985737	0.189629637	0.270296831	0.037574295	0.265179841	0.425543011	0.270156416	0.268184751	1.004073281	1.321674547	0.944482874	1.100977834	1.118128128	1.10194365	1.095798121	1.118265902	1.164071445	1.143660645	1.201703957	0.856184616	1.198659481	1.193490545	N/A	1.184611934	1.555349495	2.038420113	1.116802112	1.591099315	1.550094859	1.59293579	1.575853438	1.576807082	1.739814764	1.732024433	1.765488188	1.765684956	1.756648019	1.757788891	1.755260099	1.753881024	1.739990989	1.740037462	1.877967258	1.870062392	2.032013489	2.021806611	2.047803982	2.057150317	1.617946247	2.02519888	2.006990254	2.01579006	2.249893387	2.230052452	2.304782878	2.233029257	2.259968419	2.258662259	2.605959212	2.605959732	2.816769111	2.798036353	2.579594121	2.578973356	2.972291666	2.970681904	3.370416029	3.366385505	3.736286775	3.717453914	3.758723667	3.748181048	3.970699436	3.974915031	4.027480949	3.927673699	4.007727486	4.007718189	4.299216942	4.303171673	4.387082328	4.255783785	4.361285872	4.368475848	4.396641528	4.396248883	4.38508527	4.385219359	4.583709052	4.528298716	4.497080783	4.497651471	N/A	4.455270564	4.700120445	4.584003929	4.707113496	4.658765734	4.941236689	4.968948466
Cal 6	Unknown	0.258950289	N/A	0.263680887	0.26336981	0.253414948	0.25784875	0.267770091	0.267205505	0.262600912	0.201077346	0.264458796	0.040298499	0.261616458	0.262582297	0.267719171	0.267877653	0.989774981	0.996776546	0.931899445	1.130770746	1.117379133	1.070473492	1.116520032	1.099138279	1.162601846	1.153503018	1.202451747	1.199214208	1.199977578	1.193510799	1.190913653	1.191002514	1.116229314	1.546473447	1.595624801	1.593528331	1.606540194	1.599586691	1.578757272	1.580064376	1.738089357	1.742742796	1.764999929	1.765096442	1.756826595	1.757108195	1.762531506	1.754702699	1.73821324	1.739810417	1.881893232	1.870331793	2.010124452	2.013019114	2.001706124	2.025743813	2.012019762	2.012904333	1.888484162	2.011105012	2.238078054	2.237620162	2.283929333	2.288598929	2.259376343	2.25860555	2.614711396	2.610968404	2.819320296	2.797513084	2.579360677	2.578732312	2.971973398	2.972120786	3.369355982	3.36855594	3.715774605	3.715092575	3.75881823	3.760560653	3.982413378	3.974340905	4.027489615	4.026469197	4.006793115	4.006677991	4.302069435	4.298676268	4.3876898	4.403460013	4.362184271	4.356068455	4.399975645	4.399789307	4.383816384	4.383103497	4.497268764	4.497672531	4.496930676	4.496622571	4.597256753	4.442913582	4.61325369	4.611370823	4.77523298	4.675493969	4.964733835	4.966835147
Cal 5	Unknown	0.256229295	0.234000762	0.26279085	0.264940921	0.255980363	0.257202659	0.264584225	0.26745548	0.261667949	0.257245114	0.266423789	0.26341648	0.260437206	0.263817417	0.266260478	0.265531648	0.989426036	0.99115536	0.944354811	0.947264894	1.019561719	1.078531107	1.105614709	1.108684448	1.158851676	1.164847918	1.201791539	1.199981872	1.196987594	1.199027903	1.189654522	1.188491795	1.546269618	1.546547923	1.589516916	1.593671704	1.601522076	1.592206585	1.579403647	1.578709751	1.737700547	1.73778281	1.764522479	1.76519656	1.756035431	1.756555614	1.75989235	1.766415095	1.739179298	1.739324136	1.883436583	1.87724948	2.017079486	2.011822533	2.01065704	2.006601173	2.00875528	2.012352997	2.001149718	2.012910637	2.235729065	2.235036128	2.279000027	2.285601106	2.258190168	2.258774633	2.617080518	2.607957691	2.61062284	2.611294125	2.576360149	2.575330771	2.96360718	2.964613762	3.366575385	3.366690399	3.713162699	3.713426509	3.756222395	3.757731787	3.973936212	3.972904409	4.024400308	4.023326439	4.005609175	4.004864463	4.297111037	4.296950419	4.381697796	4.369535411	4.356950115	4.355895874	4.397996409	4.399367335	4.382391348	4.383168208	4.497193233	4.496370284	4.496066359	4.496119146	4.477033212	4.581797595	4.61373868	4.613485138	4.774575741	4.773947104	4.967977242	4.968872558
Cal 4	Unknown	0.259978883	0.258431568	0.263243909	0.262021782	0.257598007	0.256771947	0.267214098	0.266558478	0.261755608	0.257562756	0.264814181	0.263288731	0.262851035	0.263612814	0.267329591	0.265579138	0.983753315	0.980774179	0.934156368	0.93342068	0.999795354	1.009937713	1.104181931	1.104467683	1.150980912	1.155542417	1.196423243	1.193537432	1.190252777	1.193641199	1.187007591	1.179231206	1.539989653	1.54148696	1.585976422	1.586672842	1.592674929	1.592405915	1.571922928	1.571739279	1.734843631	1.734010334	1.761773941	1.759180183	1.750730346	1.750589792	1.758624092	1.754431632	1.732456753	1.731767714	1.878988133	1.878842961	2.010764129	2.008030484	2.001726544	2.005332524	2.01026138	2.004884521	2.00784114	2.008352083	2.230487447	2.229546988	2.282176425	2.283643226	2.254656894	2.256276963	2.610611765	2.608671191	2.609102199	2.607603392	2.574055169	2.57373149	2.960244541	2.961300957	3.363787385	3.363319791	3.711684334	3.710869396	3.754817825	3.755000245	3.972722761	3.971913696	4.023639969	4.023451684	4.004676104	4.006082508	4.29630028	4.297348168	4.380050854	4.370786085	4.354123625	4.356217881	4.399233077	4.399171109	4.381838187	4.382305412	4.495383583	4.495165587	4.494851949	4.493880247	4.439291018	4.437004856	4.615908404	4.61509015	4.788402976	4.787824705	4.966872838	4.965674194
Cal 3	Unknown	0.258956551	0.261903546	0.26274974	0.263889107	0.25720775	0.256229639	0.265015983	0.265198526	0.261392436	0.25989211	0.263403052	0.263617805	0.262892303	0.262506233	0.267157447	0.266589493	0.983428774	0.985147802	0.936808169	0.9373079	1.000058913	1.000921316	1.100033015	1.101528743	1.149547736	1.147936038	1.19725958	1.195948045	1.191521255	1.190723127	1.188081214	1.180218507	1.546097378	1.5459107	1.588315168	1.587543726	1.595040403	1.593006789	1.572970806	1.571721514	1.738538761	1.739356689	1.76441636	1.762886258	1.754995324	1.754727935	1.761694881	1.761095022	1.735416408	1.734800423	1.881765209	1.880673519	2.010219108	2.009074734	2.005178756	2.004865264	2.009294548	2.010130439	2.010187436	2.008451875	2.234751308	2.233728789	2.285772318	2.28592367	2.259203925	2.258237302	2.613822046	2.617663046	2.615079434	2.614628631	2.579891545	2.578444462	2.971770929	2.970560387	3.36819951	3.367713351	3.714116837	3.714272097	3.758796532	3.759162746	3.973633664	3.97540297	4.024677299	4.025172979	4.006489975	4.00655221	4.299000503	4.300708591	4.374695709	4.372673304	4.355459005	4.355522752	4.400047092	4.400833321	4.384278324	4.384578056	4.498133164	4.498231014	4.496797417	4.496799123	4.583122988	4.584914722	4.616829428	4.617078105	4.789336476	4.78937315	4.96713658	4.967212201
Cal 2	Unknown	0.258518585	0.263919559	0.263054173	0.26361763	0.259004869	0.258732827	0.269187076	0.268625745	0.262422145	0.261920192	0.265565542	0.264404329	0.266288126	0.26457301	0.267631864	0.267613678	0.98376271	0.983146334	0.937118867	0.938339074	1.001763443	1.005246359	1.105256325	1.103723039	1.154378285	1.153393088	1.198093252	1.199212639	1.19617414	1.19435447	1.190222005	1.186209086	1.545828896	1.545672659	1.587665633	1.588483987	1.595668098	1.592524424	1.569521078	1.575890623	1.739035928	1.739528062	1.763205717	1.763771314	1.752196751	1.753519159	1.759457865	1.757033942	1.735023479	1.73445878	1.881656191	1.879601498	2.009649138	2.008108385	2.006133494	2.005102899	2.009586599	2.008438154	2.007901462	2.008808576	2.23172547	2.231495659	2.281195049	2.284808861	2.256228625	2.256632874	2.611320351	2.611363761	2.608737273	2.609510336	2.574357856	2.575130258	2.963310671	2.962468034	3.364152654	3.363273486	3.710676581	3.71061962	3.756535951	3.755030629	3.971972512	3.971176367	4.023877672	4.023838101	4.004964847	4.004409502	4.297328925	4.298105286	4.372121028	4.370387853	4.354569461	4.354528554	4.399121837	4.399478891	4.382182005	4.382124177	4.493674835	4.49527629	4.493471459	4.493791829	4.57423564	4.576169381	4.613504996	4.613642146	4.789122501	4.788558973	4.966408858	4.96710266
Cal 1	Unknown	0.260683884	0.268583293	0.264861547	0.265259412	0.255048978	0.256215006	0.270583281	0.269680265	0.26403694	0.262477405	0.267094904	0.265205803	0.26653007	0.265852084	0.269509606	0.26948794	0.985649866	0.987171768	0.944054928	0.944526391	1.006180091	1.005793156	1.108105367	1.107877108	1.158016314	1.159634002	1.201854395	1.201547849	1.198220794	1.198426601	1.195171571	1.186751988	1.547716276	1.547566317	1.589945605	1.589948729	1.597086063	1.595975764	1.577701949	1.576723816	1.741020026	1.739842695	1.76491952	1.76365322	1.757040157	1.756227953	1.759807892	1.761221647	1.737001509	1.73631177	1.880928858	1.881147645	2.010720405	2.009530017	2.005431476	2.005038511	2.007785648	2.009049125	2.009625171	2.009089698	2.232572266	2.232597566	2.285566696	2.285605909	2.257194587	2.258310356	2.613176887	2.612550665	2.611745943	2.612318165	2.575878193	2.575454996	2.967332019	2.967354108	3.366511439	3.365770595	3.711590772	3.710799777	3.75719909	3.75650384	3.971129442	3.971813724	4.024017661	4.023893372	4.00508792	4.005135461	4.29827322	4.298637403	4.371092687	4.370545254	4.356243004	4.355876052	4.400911952	4.400417138	4.383373667	4.383459857	4.496975356	4.497025739	4.495820771	4.495858592	4.578599542	4.57860343	4.616765415	4.616556315	4.790292521	4.790389691	4.967684067	4.968092148
