Sample.Name	Sample.Type	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachyhydrin_144_144_qual.check	stachyhydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant.must	1.Met.His_deriv_305.1_83.07_qual.must	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant.must	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual.must	SDMA_deriv_338.2_172.03_qual.must	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	Spermidine_deriv_551.2_193.05_quant	Spermidine_deriv_551.2_416.22_qual	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
MeOH 1	Unknown	0.166848834	0.179380561	0.251940857	0.260065933	0.313276447	0.189601749	0.265175529	0.039359428	0.340984067	0.425264819	0.268469248	0.269735541	0.960173505	0.986924965	0.966827122	0.537560475	1.113843502	1.093603749	1.076244939	1.133822842	1.072171652	1.209029203	1.381835031	0.770089433	1.343878289	1.133343044	1.088660044	1.096462576	1.301214163	2.037864442	1.108825564	1.586232031	1.701258102	1.698401146	1.821374104	1.809338523	1.937571036	2.073159991	2.118213502	2.509610802	4.029360355	3.978225636	3.602821284	4.346655398	4.613246839	4.596126939	4.326740835	4.149615724	4.340085747	4.335869182	4.545077886	4.525175236	4.470738628	4.489739945	4.717565285	4.611232046	4.715492666	4.677740415	2.873363809	2.868834441	2.775483487	3.064101715	0.461838746	1.244062345
blank = water	Unknown	0.206263134	0.664674041	0.24812574	0.260907997	0.24574482	0.226231792	0.257159256	0.044142276	0.351263376	0.10483443	0.241734674	0.246363416	0.578009966	0.665265786	1.299693019	0.616553071	1.3856343	1.018018231	1.260144168	1.2239	1.063806259	0.865582052	1.522136263	0.760268179	1.291759172	1.587284244	1.005825119	1.125530177	1.709069431	1.623778481	1.403167898	N/A	1.849871956	1.735116774	1.835658692	1.840222463	1.857279931	2.094024024	1.94619224	2.008557271	4.143665521	4.079773905	4.024954016	4.219379471	4.733034211	4.734131175	4.253686869	4.035521198	4.451571004	4.782659038	4.430929359	4.545457466	4.452593813	4.544887711	4.709087031	4.554405725	4.820267536	N/A	3.318487054	3.178853286	3.144910248	2.612137346	0.509175004	0.59610132
IS Mix 1	Unknown	0.151438996	0.191406572	0.232604455	0.26212561	0.234133214	0.185942542	0.270966742	0.040297115	0.261296252	0.272171601	0.26615602	0.265127734	1.280161744	0.954415166	1.142875945	1.123433756	1.102869424	1.086477541	1.086459349	1.144515378	1.134298781	1.375545776	1.552951688	0.883104928	1.28417341	1.577012479	1.099145715	1.076909564	1.51899288	2.036437582	1.590793241	1.601253097	1.682416761	1.884617787	1.797706136	1.84086373	2.090468283	2.099587726	2.08325331	1.702790848	4.040603822	4.186125225	4.004174107	4.003716896	4.617770717	4.39515922	4.075739585	3.96330511	4.381457064	4.382855636	4.491056272	4.517056822	4.494697296	4.493514602	4.633484833	4.587190404	4.822384001	4.652875786	2.8561089	2.856656306	2.774809574	2.773714411	0.93587435	0.939442867
Cal 7	Unknown	0.259917713	0.264716663	0.242186164	0.258980915	0.264985737	0.189629637	0.270296831	0.037574295	0.265179841	0.425543011	0.270156416	0.268184751	1.004073281	1.321674547	0.944482874	1.100977834	1.118128128	1.10194365	1.095798121	1.118265902	1.164071445	1.143660645	1.201703957	0.856184616	1.198659481	1.193490545	N/A	1.184611934	1.555349495	2.038420113	1.116802112	1.591099315	1.739814764	1.732024433	1.877967258	1.870062392	2.032013489	2.021806611	2.047803982	2.057150317	4.027480949	3.927673699	4.007727486	4.007718189	4.361285872	4.368475848	4.396641528	4.396248883	4.38508527	4.385219359	4.583709052	4.528298716	4.497080783	4.497651471	4.700120445	4.584003929	4.707113496	4.658765734	2.860890346	2.86162607	2.77759421	2.776372403	0.939290655	0.9397759
Cal 6	Unknown	0.263680887	0.26336981	0.253414948	0.25784875	0.262600912	0.201077346	0.264458796	0.040298499	0.261616458	0.262582297	0.267719171	0.267877653	0.989774981	0.996776546	0.931899445	1.130770746	1.117379133	1.070473492	1.116520032	1.099138279	1.162601846	1.153503018	1.202451747	1.199214208	1.199977578	1.193510799	1.190913653	1.191002514	1.116229314	1.546473447	1.595624801	1.593528331	1.738089357	1.742742796	1.881893232	1.870331793	2.010124452	2.013019114	2.001706124	2.025743813	4.027489615	4.026469197	4.006793115	4.006677991	4.362184271	4.356068455	4.399975645	4.399789307	4.383816384	4.383103497	4.497268764	4.497672531	4.496930676	4.496622571	4.61325369	4.611370823	4.77523298	4.675493969	2.858470607	2.859029879	2.776562918	2.776554001	0.937087596	0.938485464
Cal 5	Unknown	0.26279085	0.264940921	0.255980363	0.257202659	0.261667949	0.257245114	0.266423789	0.26341648	0.260437206	0.263817417	0.266260478	0.265531648	0.989426036	0.99115536	0.944354811	0.947264894	1.019561719	1.078531107	1.105614709	1.108684448	1.158851676	1.164847918	1.201791539	1.199981872	1.196987594	1.199027903	1.189654522	1.188491795	1.546269618	1.546547923	1.589516916	1.593671704	1.737700547	1.73778281	1.883436583	1.87724948	2.017079486	2.011822533	2.01065704	2.006601173	4.024400308	4.023326439	4.005609175	4.004864463	4.356950115	4.355895874	4.397996409	4.399367335	4.382391348	4.383168208	4.497193233	4.496370284	4.496066359	4.496119146	4.61373868	4.613485138	4.774575741	4.773947104	2.857909804	2.856281827	2.774011829	2.773842423	0.942899361	0.937555725
Cal 4	Unknown	0.263243909	0.262021782	0.257598007	0.256771947	0.261755608	0.257562756	0.264814181	0.263288731	0.262851035	0.263612814	0.267329591	0.265579138	0.983753315	0.980774179	0.934156368	0.93342068	0.999795354	1.009937713	1.104181931	1.104467683	1.150980912	1.155542417	1.196423243	1.193537432	1.190252777	1.193641199	1.187007591	1.179231206	1.539989653	1.54148696	1.585976422	1.586672842	1.734843631	1.734010334	1.878988133	1.878842961	2.010764129	2.008030484	2.001726544	2.005332524	4.023639969	4.023451684	4.004676104	4.006082508	4.354123625	4.356217881	4.399233077	4.399171109	4.381838187	4.382305412	4.495383583	4.495165587	4.494851949	4.493880247	4.615908404	4.61509015	4.788402976	4.787824705	2.852857575	2.85220977	2.771866479	2.771802523	0.934791444	0.934219777
Cal 3	Unknown	0.26274974	0.263889107	0.25720775	0.256229639	0.261392436	0.25989211	0.263403052	0.263617805	0.262892303	0.262506233	0.267157447	0.266589493	0.983428774	0.985147802	0.936808169	0.9373079	1.000058913	1.000921316	1.100033015	1.101528743	1.149547736	1.147936038	1.19725958	1.195948045	1.191521255	1.190723127	1.188081214	1.180218507	1.546097378	1.5459107	1.588315168	1.587543726	1.738538761	1.739356689	1.881765209	1.880673519	2.010219108	2.009074734	2.005178756	2.004865264	4.024677299	4.025172979	4.006489975	4.00655221	4.355459005	4.355522752	4.400047092	4.400833321	4.384278324	4.384578056	4.498133164	4.498231014	4.496797417	4.496799123	4.616829428	4.617078105	4.789336476	4.78937315	2.858384282	2.86044123	2.777682107	2.775889825	0.934555032	0.938252114
Cal 2	Unknown	0.263054173	0.26361763	0.259004869	0.258732827	0.262422145	0.261920192	0.265565542	0.264404329	0.266288126	0.26457301	0.267631864	0.267613678	0.98376271	0.983146334	0.937118867	0.938339074	1.001763443	1.005246359	1.105256325	1.103723039	1.154378285	1.153393088	1.198093252	1.199212639	1.19617414	1.19435447	1.190222005	1.186209086	1.545828896	1.545672659	1.587665633	1.588483987	1.739035928	1.739528062	1.881656191	1.879601498	2.009649138	2.008108385	2.006133494	2.005102899	4.023877672	4.023838101	4.004964847	4.004409502	4.354569461	4.354528554	4.399121837	4.399478891	4.382182005	4.382124177	4.493674835	4.49527629	4.493471459	4.493791829	4.613504996	4.613642146	4.789122501	4.788558973	2.854351454	2.854678642	2.772643992	2.773493259	0.934780681	0.936738979
Cal 1	Unknown	0.264861547	0.265259412	0.255048978	0.256215006	0.26403694	0.262477405	0.267094904	0.265205803	0.26653007	0.265852084	0.269509606	0.26948794	0.985649866	0.987171768	0.944054928	0.944526391	1.006180091	1.005793156	1.108105367	1.107877108	1.158016314	1.159634002	1.201854395	1.201547849	1.198220794	1.198426601	1.195171571	1.186751988	1.547716276	1.547566317	1.589945605	1.589948729	1.741020026	1.739842695	1.880928858	1.881147645	2.010720405	2.009530017	2.005431476	2.005038511	4.024017661	4.023893372	4.00508792	4.005135461	4.356243004	4.355876052	4.400911952	4.400417138	4.383373667	4.383459857	4.496975356	4.497025739	4.495820771	4.495858592	4.616765415	4.616556315	4.790292521	4.790389691	2.859753902	2.858674896	2.774005304	2.773875711	0.942139546	0.940634716
