Sample.Name	Sample.Type	Classification	Serine_104_74.1_DP_.50_CE_.15_quan	Serine_106_60_DP_50_CE_15_qual	Asparagine_131_114_DP_.50_CE_.15_quan	Asparagine_131_42_DP_.50_CE_.35_qual	Inol_225.1_44.9_DP_.30_CE_.45_quan	Lysine_147_130_DP_50_CE_15_qual	Lysine_147_84_DP_50_CE_30_quan	Proline_116.1_43_DP_50_CE_45_qual	Proline_116.1_70_DP_50_CE_25_quan	AR.PyroGlu_130_56_DP_60_CE_40_qual	AR.PyroGlu_130_84_DP_60_CE_20_quan	Ornitine_133.1_116_DP_40_CE_15_qual	Ornitine_133.1_70_DP_40_CE_30_quan	Trigonelline_138_92_DP_60_CE_30_quan	Trigonelline_138_94_DP_60_CE_30_qual	Methionine_150_104.1_DP_60_CE_15_quan	Methionine_150_133_DP_60_CE_15_qual	Guanine_152_110_DP_60_CE_30_qual	Guanine_152_135_DP_60_CE_30_quan	Xanthine_153_110_DP_60_CE_30_quan	Xanthine_153_136_DP_60_CE_25_qual	Histidine_156.1_110_DP_60_CE_20_quan	Histidine_156.1_83_DP_60_CE_35_qual	Carnitine_162.1_103_DP_60_CE_25_quan	Carnitine_162.1_85_DP_60_CE_30_qual	Phenylalanine_166.1_103_DP_50_CE_40_qual	Phenylalanine_166.1_120_DP_50_CE_22_quan	MethionineSulfoxide_166.1_56_DP_50_CE_40_qual	MethionineSulfoxide_166.1_74_DP_50_CE_20_quan	X1.Methyl.Histidine_170.1_124_DP_55_CE_20_quan	X1.Methyl.Histidine_170.1_81_DP_55_CE_55_qual	X3.Methyl.Histidine_170.1_95_DP_60_CE_45_qual	X3.Methyl.Histidine_170.1_96_DP_60_CE_28_quan	Acetyl.Ornitine_175.1_115_DP_50_CE_20_quan	Homo.Arginine_189.1_144_DP_60_CE_23_quan	Homo.Arginine_189.1_84_DP_60_CE_35_qual	ADMA_203.2_158.1_DP_60_CE_25_qual	AR.ADMA_203.2_70_DP_60_CE_40_quan	Spermidine_203.2_85_DP_60_CE_30_qual	Spermidine_203.2_98_DP_60_CE_35_quan	AC.C2_204.1_145_DP_50_CE_20_qual	AC.C2_204.1_85.1_DP_50_CE_27_quan	Tryptophan_205.1_146.1_DP_50_CE_25_qual	Tryptophan_205.1_188.1_DP_50_CE_15_quan	Kynurenine_209.1_146_DP_60_CE_30_qual	Kynurenine_209.1_192_DP_60_CE_15_quan	AC.C3_218.1_159_DP_50_CE_20_qual	AC.C3_218.1_85.1_DP_50_CE_29_quan	AC.C4_232.1_173.1_DP_50_CE_20_qual	AC.C4_232.2_85.1_DP_50_CE_29_quan	AC.C5.1_244.2_185.1_DP_50_CE_20_qual	AC.C5.1_244.2_85.1_DP_50_CE_31_quan	AC.C5_246.2_187.1_DP_50_CE_20_qual	AC.C5_246.2_85.1_DP_50_CE_29_quan	AC.C6_260.2_201.2_DP_50_CE_20_qual	AC.C6_260.2_85.1_DP_50_CE_33_quan	AC.C5.DC._276.2_217.1_DP_61_CE_20_qual	AC.C5.DC._276.2_85.1_DP_61_CE_35_quan	Thyroxine_777.7_604.6_DP_100_CE_55_qual	Thyroxine_777.7_731.7_DP_100_CE_35_quan	Isoleucine.Leucine_132.1_69_DP_50_CE_25_quan	Isoleucine.Leucine_86_DP_50_CE_15_qual
QC 1:5	QC	Pre 1	2470378	3629510	897256	457410	664774	6111545	6639827	1113664	72521356	50721	567811	2831024	3485352	560175	526638	1475736	1243843	1976980	3262539	95922	113582	28357405	6717472	51486556	25728852	2635504	7479886	84360	256701	9622574	2059806	1974782	3601172	83004	1321313	1076432	3305817	9464021	236925	38223	6587189	34061208	6106056	12177694	326452	886111	2135095	7932460	1506562	2233445	76175	110868	533178	1409047	119959	142765	26905	74050	12477	109893	3000958	39438403
Blank = water	Blank	Pre 1	N/A	268088	N/A	9312	N/A	184971	N/A	24260	769799	29151	N/A	85565	123036	341913	300600	20777	56917	1079038	1391414	N/A	40878	1215507	273742	723532	332621	50260	100588	N/A	18242	359195	81693	71268	119643	24778	N/A	11858	85255	218750	212058	N/A	56456	210475	39924	N/A	13352	N/A	N/A	32829	1025605	31226	55429	N/A	33283	80119	19927	N/A	12773	N/A	N/A	N/A	24065	330585
Solvent	Blank	Pre 1	269680	288905	N/A	N/A	N/A	99763	N/A	46908	1079983	28431	228661	168147	184579	369260	344469	25483	62942	1613558	2188385	17005	13907	1061978	239349	689262	328475	65451	106124	N/A	16383	114746	24890	25778	37959	4400	N/A	7065	41223	121047	183121	N/A	66685	209796	39986	N/A	11545	N/A	N/A	41107	1075050	32867	69751	N/A	49742	110035	9941	N/A	4531	N/A	N/A	N/A	44670	410180
HILIC Cal 8	Cal	Cal 1	159212	208631	10340	N/A	N/A	77838	58906	35323	613795	12592	124736	53655	78696	358269	353017	23046	12149	1175550	1493860	8342	32082	429384	125105	673209	286121	30510	112318	16455	30239	72102	14993	10382	21336	11364	N/A	8714	52194	101472	167936	N/A	69995	211705	45493	26675	16344	N/A	N/A	54126	841932	62929	71174	48168	66011	140023	48327	25954	4475	5545	N/A	N/A	50602	333230
HILIC Cal 7	Cal	Cal 1	162001	206921	11080	N/A	14834	56891	55492	19415	805142	94412	118067	63972	73244	350387	326744	26487	81596	1590701	2250231	23143	39904	463109	122672	718436	351052	62606	131017	23421	59971	91174	16683	9070	18116	15510	N/A	14355	86782	183394	197497	N/A	89332	271942	24071	N/A	11315	32396	51997	117593	923423	116811	110561	81227	41209	185061	16911	47925	12692	8518	N/A	N/A	54768	352582
HILIC Cal 6	Cal	Cal 1	176274	214811	28415	15001	38605	132264	123658	69596	960837	16993	136740	85378	125006	520782	482053	39109	48275	1238599	1756633	91640	82867	719564	201692	1154061	555109	97450	294239	60404	147341	194135	41939	27809	40586	91595	N/A	15513	249840	526063	213898	N/A	139755	574415	65232	125051	38494	51469	84594	346651	968964	323506	214246	253645	157591	398129	75470	146647	12251	18131	N/A	14867	90617	642195
HILIC Cal 5	Cal	Cal 1	237389	336155	81734	41858	133364	363840	409563	49101	1809000	24919	139076	275325	374709	775600	778353	155917	156695	1898780	2993585	267552	259240	1741274	405467	2480939	1193916	276293	740286	135419	451941	571268	119073	60258	121795	250942	69865	72859	590425	1420265	137363	10162	355653	1558946	156584	389241	99650	187517	281360	981088	1259421	939723	437472	651730	328551	933714	220750	524353	8869	47147	5337	21184	165368	1664236
HILIC Cal 4	Cal	Cal 1	443441	604004	247521	128755	402471	1210279	1196603	98733	4371670	8166	171453	789742	1039519	1888323	1753021	546726	418524	2477037	5091209	1033470	1042532	4205654	956110	6585808	3309801	895178	2519222	465886	1396496	1743680	361602	176813	347811	892667	258016	245575	1198630	3080934	199325	23769	1067780	4905818	640183	1346027	370572	915670	868148	3305905	2189678	3336520	1611865	2630310	1133941	3316287	770064	1902672	25756	94690	12717	102449	424459	5381308
HILIC Cal 3	Cal	Cal 1	1219095	1638547	941859	482958	1529200	4240210	4438485	283379	14446363	31604	325102	3216860	3933554	5564767	5211973	2193949	1846543	6315677	13160101	3803149	3711025	13842385	3187439	22462301	11357727	3235727	8867652	1584652	5097149	6311476	1273958	571665	1227200	3197445	1108354	957219	3290896	8262611	162531	89002	3499294	17384646	2433637	4694430	1290365	3119936	3037701	11499379	4994331	11974263	5410515	9059117	3886898	11827441	2863235	7159807	132125	359432	41784	336811	1690865	19639233
HILIC Cal 2	Cal	Cal 1	2983389	4023317	2514706	1310444	3862019	11437539	12327491	601954	38586199	61874	716614	9001103	11143490	13758524	12852780	5761877	4679971	13566226	33532702	11024443	10567165	35081109	8174530	54623289	27576259	8911506	25307593	4277719	13990116	17069701	3411945	1454477	3136955	8739560	3451014	2943206	8371744	20980491	183335	201425	8772386	45053953	6809184	13906647	3434278	8682877	8633260	32472035	11709934	33137201	14128484	23149329	10421480	31463378	7904417	18964803	290966	979206	138496	1012271	4087976	52601654
